Country,State,City,Station,Last_Update,Latitude,Longitude,Pollutant_Id,Pollutant_Min,Pollutant_Max,Pollutant_Avg
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",03-04-2025 09:00,28.7256504,77.2011573,PM10,NA,NA,NA
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",03-04-2025 09:00,28.6573814,77.1585447,PM10,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",03-04-2025 09:00,28.498571,77.26484,PM10,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",03-04-2025 09:00,28.498571,77.26484,SO2,NA,NA,NA
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",03-04-2025 09:00,28.5627763,77.1180053,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IMD",03-04-2025 09:00,28.63611,77.173332,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",03-04-2025 09:00,23.016834,72.625775,PM10,NA,NA,NA
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",03-04-2025 09:00,28.422681,77.148944,PM2.5,NA,NA,NA
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",03-04-2025 09:00,23.243639,72.68994,CO,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",03-04-2025 09:00,13.0246342,77.5080115,SO2,NA,NA,NA
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",03-04-2025 09:00,20.918946,74.776388,NH3,NA,NA,NA
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",03-04-2025 09:00,20.918946,74.776388,OZONE,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",03-04-2025 09:00,19.1653323,72.922099,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",03-04-2025 09:00,19.0863,72.8888,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",03-04-2025 09:00,19.2058,72.8682,PM10,NA,NA,NA
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",03-04-2025 09:00,19.854616,75.905894,PM2.5,NA,NA,NA
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",03-04-2025 09:00,19.854616,75.905894,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",03-04-2025 09:00,19.19709,72.82204,SO2,NA,NA,NA
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",03-04-2025 09:00,20.555712,74.529236,PM2.5,NA,NA,NA
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",03-04-2025 09:00,20.555712,74.529236,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",03-04-2025 09:00,19.175,72.9419,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",03-04-2025 09:00,19.000083,72.813993,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",03-04-2025 09:00,19.000084,72.85673,SO2,NA,NA,NA
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",03-04-2025 09:00,19.173852,77.296291,PM10,NA,NA,NA
India,Maharashtra,Pune,"Karve Road, Pune - MPCB",03-04-2025 09:00,18.5011743,73.8165527,PM2.5,NA,NA,NA
India,Maharashtra,Pune,"Karve Road, Pune - MPCB",03-04-2025 09:00,18.5011743,73.8165527,SO2,NA,NA,NA
India,Maharashtra,Pune,"Karve Road, Pune - MPCB",03-04-2025 09:00,18.5011743,73.8165527,CO,NA,NA,NA
India,Maharashtra,Pune,"Karve Road, Pune - MPCB",03-04-2025 09:00,18.5011743,73.8165527,OZONE,NA,NA,NA
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB",03-04-2025 09:00,25.5803419,91.8942571,OZONE,NA,NA,NA
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",03-04-2025 09:00,25.435774,75.644272,PM2.5,NA,NA,NA
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",03-04-2025 09:00,25.435774,75.644272,PM10,NA,NA,NA
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",03-04-2025 09:00,25.435774,75.644272,NH3,NA,NA,NA
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",03-04-2025 09:00,27.33853,88.614099,SO2,NA,NA,NA
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB",03-04-2025 09:00,11.6829898,79.7532099,NH3,NA,NA,NA
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",03-04-2025 09:00,11.0973603,77.3228673,PM10,NA,NA,NA
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",03-04-2025 09:00,17.544899,78.486949,SO2,NA,NA,NA
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",03-04-2025 09:00,28.757294,77.278792,NH3,NA,NA,NA
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",03-04-2025 09:00,28.757294,77.278792,SO2,NA,NA,NA
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",03-04-2025 09:00,28.757294,77.278792,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",03-04-2025 09:00,28.999264,77.7590354,NO2,NA,NA,NA
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",03-04-2025 09:00,22.611968,88.347422,NO2,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA",03-04-2025 09:00,24.82827,92.79525,OZONE,NA,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",03-04-2025 09:00,25.204762,85.51496,PM10,NA,NA,NA
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",03-04-2025 09:00,28.5627763,77.1180053,OZONE,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",03-04-2025 09:00,22.06631475,83.33820077,PM10,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",03-04-2025 09:00,22.06631475,83.33820077,NH3,NA,NA,NA
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",03-04-2025 09:00,28.4706914,77.1099364,OZONE,NA,NA,NA
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",03-04-2025 09:00,28.7256504,77.2011573,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",03-04-2025 09:00,28.656756,77.227234,NH3,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",03-04-2025 09:00,28.498571,77.26484,NH3,NA,NA,NA
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",03-04-2025 09:00,28.5512005,77.2735737,PM10,NA,NA,NA
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",03-04-2025 09:00,28.6573814,77.1585447,CO,NA,NA,NA
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",03-04-2025 09:00,28.6573814,77.1585447,OZONE,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IMD",03-04-2025 09:00,28.63611,77.173332,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",03-04-2025 09:00,23.002657,72.591912,OZONE,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IMD",03-04-2025 09:00,28.63611,77.173332,NO2,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IMD",03-04-2025 09:00,28.63611,77.173332,OZONE,NA,NA,NA
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",03-04-2025 09:00,23.016834,72.625775,PM2.5,NA,NA,NA
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",03-04-2025 09:00,22.410802,73.097923,PM2.5,NA,NA,NA
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",03-04-2025 09:00,28.39072,77.30059,PM2.5,NA,NA,NA
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",03-04-2025 09:00,28.39072,77.30059,NO2,NA,NA,NA
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",03-04-2025 09:00,28.39072,77.30059,OZONE,NA,NA,NA
